household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT1344,1,pulse,0,3,19,50,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1343,1,pulse,0,3,19,50,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1342,2,pulse,0,3,19,67,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1341,2,pulse,0,3,19,67,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
RCT1340,2,pulse,0,3,19,67,yes_vacc,2,0,yes_card,1,1,NA,no,2,Mara,1
RCT1339,1,pulse,0,3,19,67,no_vacc,NA,0,,1,0,NA,,NA,Mara,1
RCT1338,2,pulse,0,3,19,67,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1337,1,pulse,0,3,19,67,yes_vacc,1,0,no_card,1,1,NA,no,0,Mara,1
RCT1336,1,pulse,0,3,19,67,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,1
RCT1335,1,pulse,0,3,19,67,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1332,1,pulse,0,3,19,26,yes_vacc,1,0,yes_card,0,0,NA,no,13,Mara,1
RCT1331,1,pulse,0,3,19,26,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1330,1,pulse,0,3,19,26,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1329,1,pulse,0,3,19,26,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1328,1,pulse,0,3,19,26,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1327,1,pulse,0,3,19,26,no_vacc,NA,0,,1,0,NA,,NA,Mara,1
RCT1326,2,pulse,0,3,19,26,yes_vacc,2,0,yes_card,0,0,NA,no,2,Mara,1
RCT1325,1,pulse,0,3,19,26,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1324,2,pulse,0,3,19,26,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
RCT1323,4,pulse,0,3,19,26,no_vacc,NA,4,,3,0,NA,,NA,Mara,1
RCT1322,5,pulse,0,3,24,126,yes_vacc,1,4,no_card,5,0,NA,no,0,Mara,1
RCT1321,1,pulse,0,3,24,126,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1320,1,pulse,0,3,24,126,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1319,3,pulse,0,3,24,126,yes_vacc,2,1,yes_card,1,0,NA,no,2,Mara,1
RCT1318,1,pulse,0,3,24,126,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,1
RCT1317,2,pulse,0,3,24,126,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1316,2,pulse,0,3,24,126,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,1
RCT1315,3,pulse,0,3,24,126,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,1
RCT1314,2,pulse,0,3,24,126,yes_vacc,1,1,yes_card,3,1,NA,no,1,Mara,1
RCT1313,1,pulse,0,3,24,126,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1312,3,pulse,0,3,24,18,yes_vacc,2,1,yes_card,3,1,NA,no,2,Mara,1
RCT1311,5,pulse,0,3,24,18,yes_vacc,1,4,yes_card,4,1,NA,no,1,Mara,1
RCT1310,2,pulse,0,3,24,18,yes_vacc,2,0,yes_card,1,1,NA,no,2,Mara,1
RCT1309,3,pulse,0,3,24,18,yes_vacc,1,2,yes_card,3,0,NA,no,1,Mara,1
RCT1308,2,pulse,0,3,24,18,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1307,1,pulse,0,3,24,18,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,1
RCT1306,3,pulse,0,3,24,18,yes_vacc,1,2,yes_card,2,0,NA,no,1,Mara,1
RCT1305,1,pulse,0,3,24,18,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,1
RCT1304,3,pulse,0,3,24,18,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,1
RCT1303,1,pulse,0,3,24,18,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1298,1,pulse,0,3,24,71,no_vacc,NA,1,,1,1,NA,,NA,Mara,1
RCT1297,1,pulse,0,3,24,71,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1296,1,pulse,0,3,24,71,yes_vacc,1,0,no_card,1,1,NA,no,0,Mara,1
RCT1295,1,pulse,0,3,24,71,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1294,7,pulse,0,3,24,71,yes_vacc,1,6,no_card,6,0,NA,no,0,Mara,1
RCT1293,1,pulse,0,3,24,71,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT0360,1,continuous,1,6,15,29,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0359,3,continuous,1,6,15,29,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0358,2,continuous,1,6,15,29,yes_vacc,2,0,yes_card,1,1,NA,no,2,Mara,0
RCT0357,1,continuous,1,6,15,29,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0356,2,continuous,1,6,15,29,yes_vacc,1,1,yes_card,1,0,NA,no,1,Mara,0
RCT0355,3,continuous,1,6,15,29,yes_vacc,2,1,yes_card,2,1,NA,no,2,Mara,0
RCT0354,3,continuous,1,6,15,29,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,0
RCT0353,2,continuous,1,6,15,29,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0352,3,continuous,1,6,15,29,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0351,4,continuous,1,6,15,29,yes_vacc,2,2,yes_card,4,2,NA,no,2,Mara,0
RCT0400,1,pulse,0,0,23,98,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0399,1,pulse,0,0,23,98,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0398,1,pulse,0,0,23,98,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0397,2,pulse,0,0,23,98,yes_vacc,2,0,no_card,2,0,NA,no,0,Mara,0
RCT0396,2,pulse,0,0,23,98,yes_vacc,2,0,no_card,2,2,NA,no,0,Mara,0
RCT0395,2,pulse,0,0,23,98,yes_vacc,2,0,yes_card,0,0,NA,no,2,Mara,0
RCT0394,1,pulse,0,0,23,98,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0393,1,pulse,0,0,23,98,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0392,2,pulse,0,0,23,98,yes_vacc,1,1,yes_card,1,0,NA,no,1,Mara,0
RCT0391,1,pulse,0,0,23,98,no_vacc,NA,0,,1,0,NA,,NA,Mara,0
RCT0410,2,pulse,0,0,23,14,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0409,1,pulse,0,0,23,14,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0408,1,pulse,0,0,23,14,no_vacc,NA,0,,1,0,NA,,NA,Mara,0
RCT0407,1,pulse,0,0,23,14,yes_vacc,1,0,yes_card,1,0,NA,no,1,Mara,0
RCT0406,1,pulse,0,0,23,14,yes_vacc,1,0,yes_card,1,0,NA,no,1,Mara,0
RCT0405,2,pulse,0,0,23,14,yes_vacc,2,0,yes_card,0,0,NA,no,2,Mara,0
RCT0404,1,pulse,0,0,23,14,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0403,1,pulse,0,0,23,14,yes_vacc,1,0,no_card,0,0,NA,no,0,Mara,0
RCT0402,5,pulse,0,0,23,14,yes_vacc,1,4,yes_card,5,1,NA,no,1,Mara,0
RCT0401,3,pulse,0,0,23,14,yes_vacc,2,1,yes_card,1,0,NA,no,2,Mara,0
RCT0420,3,pulse,0,0,23,121,yes_vacc,1,2,yes_card,0,0,NA,no,1,Mara,0
RCT0419,1,pulse,0,0,23,121,yes_vacc,1,0,no_card,0,0,NA,no,0,Mara,0
RCT0418,1,pulse,0,0,23,121,yes_vacc,1,0,no_card,1,1,NA,no,0,Mara,0
RCT0417,1,pulse,0,0,23,121,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0416,1,pulse,0,0,23,121,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0415,1,pulse,0,0,23,121,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0414,3,pulse,0,0,23,121,yes_vacc,3,0,no_card,0,0,NA,no,0,Mara,0
RCT0413,1,pulse,0,0,23,121,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0412,2,pulse,0,0,23,121,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0411,1,pulse,0,0,23,121,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0460,2,pulse,0,0,3,65,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0459,2,pulse,0,0,3,65,no_vacc,NA,2,,1,0,NA,,NA,Mara,0
RCT0458,2,pulse,0,0,3,65,yes_vacc,2,0,no_card,0,0,NA,no,0,Mara,0
RCT0457,1,pulse,0,0,3,65,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0456,6,pulse,0,0,3,65,no_vacc,NA,6,,6,0,NA,,NA,Mara,0
RCT0455,1,pulse,0,0,3,65,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0454,1,pulse,0,0,3,65,no_vacc,NA,1,,0,0,NA,,NA,Mara,0
RCT0453,1,pulse,0,0,3,65,no_vacc,NA,1,,0,0,NA,,NA,Mara,0
RCT0452,1,pulse,0,0,3,65,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0451,1,pulse,0,0,3,65,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0470,1,pulse,0,0,3,73,yes_vacc,1,0,no_card,1,1,NA,no,0,Mara,0
RCT0469,2,pulse,0,0,3,73,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0468,2,pulse,0,0,3,73,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0466,1,pulse,0,0,3,73,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0467,2,pulse,0,0,3,73,yes_vacc,1,1,yes_card,0,0,NA,no,1,Mara,0
RCT0465,1,pulse,0,0,3,73,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0464,1,pulse,0,0,3,73,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0463,1,pulse,0,0,3,73,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0462,2,pulse,0,0,3,73,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0461,2,pulse,0,0,3,73,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0480,1,pulse,0,0,3,44,yes_vacc,1,0,yes_card,0,0,NA,no,1,Mara,0
RCT0479,1,pulse,0,0,3,44,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0478,1,pulse,0,0,3,44,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0477,2,pulse,0,0,3,44,unknown,NA,2,,2,0,NA,,NA,Mara,0
RCT0950,2,pulse,0,10,35,81,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0950,2,pulse,0,10,35,81,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0950,2,pulse,0,10,35,81,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0950,2,pulse,0,10,35,81,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0949,4,pulse,0,10,35,81,no_vacc,NA,4,,4,0,NA,,NA,Mara,2
RCT0949,4,pulse,0,10,35,81,no_vacc,NA,4,,4,0,NA,,NA,Mara,2
RCT0949,4,pulse,0,10,35,81,no_vacc,NA,4,,4,0,NA,,NA,Mara,2
RCT0949,4,pulse,0,10,35,81,no_vacc,NA,4,,4,0,NA,,NA,Mara,2
RCT0948,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0948,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0948,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0948,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0947,2,pulse,0,10,35,81,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0947,2,pulse,0,10,35,81,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0947,2,pulse,0,10,35,81,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0947,2,pulse,0,10,35,81,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0946,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0946,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0946,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0946,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0945,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0945,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0945,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0945,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0944,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0944,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0944,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0944,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0943,1,pulse,0,10,35,81,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0943,1,pulse,0,10,35,81,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0943,1,pulse,0,10,35,81,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0943,1,pulse,0,10,35,81,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0942,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0942,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0942,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0942,1,pulse,0,10,35,81,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0941,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0941,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0941,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0941,3,pulse,0,10,35,81,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0940,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0940,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0940,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0940,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0939,2,pulse,0,10,35,6,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0939,2,pulse,0,10,35,6,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0939,2,pulse,0,10,35,6,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0939,2,pulse,0,10,35,6,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,2
RCT0938,2,pulse,0,10,35,6,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0938,2,pulse,0,10,35,6,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0937,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0937,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0936,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0936,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0935,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0935,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0934,3,pulse,0,10,35,6,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,2
RCT0934,3,pulse,0,10,35,6,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,2
RCT0933,2,pulse,0,10,35,6,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0933,2,pulse,0,10,35,6,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0932,1,pulse,0,10,35,6,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0932,1,pulse,0,10,35,6,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0932,1,pulse,0,10,35,6,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0932,1,pulse,0,10,35,6,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0931,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0931,3,pulse,0,10,35,6,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0930,1,pulse,0,10,35,46,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0929,1,pulse,0,10,35,46,yes_vacc,1,0,yes_card,1,1,NA,no,0,Mara,2
RCT0928,2,pulse,0,10,35,46,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0927,5,pulse,0,10,35,46,no_vacc,NA,5,,5,0,NA,,NA,Mara,2
RCT0926,3,pulse,0,10,35,46,no_vacc,NA,3,,3,0,NA,,NA,Mara,2
RCT0925,2,pulse,0,10,35,46,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,2
RCT0924,1,pulse,0,10,35,46,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0923,1,pulse,0,10,35,46,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0922,1,pulse,0,10,35,46,no_vacc,NA,1,,1,0,NA,,NA,Mara,2
RCT0921,2,pulse,0,10,35,46,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0450,5,pulse,0,0,8,32,yes_vacc,1,4,yes_card,5,1,NA,no,1,Mara,0
RCT0449,2,pulse,0,0,8,32,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0448,2,pulse,0,0,8,32,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0447,1,pulse,0,0,8,32,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0446,2,pulse,0,0,8,32,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0445,2,pulse,0,0,8,32,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0444,1,pulse,0,0,8,32,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0443,1,pulse,0,0,8,32,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0442,7,pulse,0,0,8,32,no_vacc,NA,7,,7,0,NA,,NA,Mara,0
RCT0370,1,pulse,0,0,11,15,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0369,1,pulse,0,0,11,15,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0368,3,pulse,0,0,11,15,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0367,1,pulse,0,0,11,15,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0441,2,pulse,0,0,8,32,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0366,1,pulse,0,0,11,122,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0439,2,pulse,0,0,11,28,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0364,3,pulse,0,0,11,122,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0437,1,pulse,0,0,8,28,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0365,2,pulse,0,0,11,122,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0363,2,pulse,0,0,11,122,no_vacc,NA,1,,1,1,NA,,NA,Mara,0
RCT0362,4,pulse,0,0,11,122,yes_vacc,4,0,yes_card,4,4,NA,no,4,Mara,0
RCT0438,1,pulse,0,0,8,28,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0436,2,pulse,0,0,8,28,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0361,2,pulse,0,0,11,122,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0435,1,pulse,0,0,8,28,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0434,3,pulse,0,0,8,28,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,0
RCT0380,1,pulse,0,0,11,111,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0433,1,pulse,0,0,8,28,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0379,3,pulse,0,0,11,111,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0378,2,pulse,0,0,11,111,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0377,1,pulse,0,0,11,111,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0432,1,pulse,0,0,8,28,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0431,1,pulse,0,0,8,28,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0376,1,pulse,0,0,11,111,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0375,3,pulse,0,0,11,111,no_vacc,NA,3,,3,0,NA,,NA,Mara,0
RCT0430,4,pulse,0,0,8,13,yes_vacc,2,2,yes_card,4,2,NA,no,2,Mara,0
RCT0374,2,pulse,0,0,11,111,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0429,1,pulse,0,0,8,13,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0373,1,pulse,0,0,11,111,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0372,1,pulse,0,0,11,111,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0428,3,pulse,0,0,8,13,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0371,2,pulse,0,0,11,111,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0427,2,pulse,0,0,8,13,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0426,1,pulse,0,0,8,13,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0390,2,pulse,0,0,11,85,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0425,1,pulse,0,0,8,13,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0424,1,pulse,0,0,8,13,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0389,1,pulse,0,0,11,85,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0388,1,pulse,0,0,11,85,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0423,2,pulse,0,0,8,13,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0387,2,pulse,0,0,11,85,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0422,1,pulse,0,0,8,13,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0386,1,pulse,0,0,11,85,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0421,2,pulse,0,0,8,13,yes_vacc,2,0,yes_card,1,1,NA,no,2,Mara,0
RCT0385,4,pulse,0,0,11,85,yes_vacc,2,2,yes_card,4,2,NA,no,2,Mara,0
RCT0384,1,pulse,0,0,11,85,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0383,1,pulse,0,0,11,85,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0382,1,pulse,0,0,11,85,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0381,1,pulse,0,0,11,85,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0476,2,pulse,0,0,46,44,yes_vacc,1,1,no_card,0,0,NA,no,0,Mara,0
RCT0475,2,pulse,0,0,46,44,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0474,1,pulse,0,0,46,44,no_vacc,NA,1,,0,0,NA,,NA,Mara,0
RCT0473,1,pulse,0,0,46,44,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0472,2,pulse,0,0,46,44,no_vacc,NA,2,,1,0,NA,,NA,Mara,0
RCT0471,1,pulse,0,0,46,44,no_vacc,NA,1,,1,0,NA,,NA,Mara,0